Freq.	V(vout)/V(pwm)
2.63026799189540e+002	(1.99984527067066e+001dB,-1.89440580577931e-001°)
2.75422870333818e+002	(1.99984710097716e+001dB,-1.98369092960837e-001°)
2.88403150312662e+002	(1.99984910787027e+001dB,-2.07718460266265e-001°)
3.01995172040203e+002	(1.99985130838712e+001dB,-2.17508526716956e-001°)
3.16227766016840e+002	(1.99985372120868e+001dB,-2.27760073238040e-001°)
3.31131121482593e+002	(1.99985636681827e+001dB,-2.38494861820716e-001°)
3.46736850452534e+002	(1.99985926767555e+001dB,-2.49735682009086e-001°)
3.63078054770104e+002	(1.99986244840717e+001dB,-2.61506399614981e-001°)
3.80189396320564e+002	(1.99986593601589e+001dB,-2.73832007771293e-001°)
3.98107170553500e+002	(1.99986976010983e+001dB,-2.86738680440341e-001°)
4.16869383470338e+002	(1.99987395315391e+001dB,-3.00253828500249e-001°)
4.36515832240169e+002	(1.99987855074549e+001dB,-3.14406158539135e-001°)
4.57088189614878e+002	(1.99988359191662e+001dB,-3.29225734494349e-001°)
4.78630092322641e+002	(1.99988911946553e+001dB,-3.44744042281792e-001°)
5.01187233627276e+002	(1.99989518032006e+001dB,-3.60994057568880e-001°)
5.24807460249776e+002	(1.99990182593612e+001dB,-3.78010316853806e-001°)
5.49540873857628e+002	(1.99990911273476e+001dB,-3.95828992023570e-001°)
5.75439937337161e+002	(1.99991710258127e+001dB,-4.14487968573844e-001°)
6.02559586074362e+002	(1.99992586331065e+001dB,-4.34026927685207e-001°)
6.30957344480198e+002	(1.99993546930374e+001dB,-4.54487432362741e-001°)
6.60693448007601e+002	(1.99994600211903e+001dB,-4.75913017859421e-001°)
6.91830970918941e+002	(1.99995755118545e+001dB,-4.98349286618498e-001°)
7.24435960074995e+002	(1.99997021456202e+001dB,-5.21844007986047e-001°)
7.58577575029189e+002	(1.99998409977096e+001dB,-5.46447222962397e-001°)
7.94328234724287e+002	(1.99999932471119e+001dB,-5.72211354280358e-001°)
8.31763771102677e+002	(2.00001601866009e+001dB,-5.99191322119215e-001°)
8.70963589956087e+002	(2.00003432337203e+001dB,-6.27444665786658e-001°)
9.12010839355917e+002	(2.00005439428308e+001dB,-6.57031671726379e-001°)
9.54992586021443e+002	(2.00007640183205e+001dB,-6.88015508237310e-001°)
1.00000000000001e+003	(2.00010053290932e+001dB,-7.20462367321779e-001°)
1.04712854805091e+003	(2.00012699244561e+001dB,-7.54441614114574e-001°)
1.09647819614319e+003	(2.00015600515440e+001dB,-7.90025944383523e-001°)
1.14815362149689e+003	(2.00018781744286e+001dB,-8.27291550635228e-001°)
1.20226443461742e+003	(2.00022269950761e+001dB,-8.66318297407658e-001°)
1.25892541179418e+003	(2.00026094763316e+001dB,-9.07189906385060e-001°)
1.31825673855642e+003	(2.00030288671289e+001dB,-9.49994152030910e-001°)
1.38038426460290e+003	(2.00034887301396e+001dB,-9.94823068502321e-001°)
1.44543977074594e+003	(2.00039929720999e+001dB,-1.04177316868546e+000°)
1.51356124843622e+003	(2.00045458770749e+001dB,-1.09094567627735e+000°)
1.58489319246113e+003	(2.00051521429460e+001dB,-1.14244677193629e+000°)
1.65958690743757e+003	(2.00058169214358e+001dB,-1.19638785463273e+000°)
1.73780082874939e+003	(2.00065458620140e+001dB,-1.25288581945637e+000°)
1.81970085861000e+003	(2.00073451600645e+001dB,-1.31206335327614e+000°)
1.90546071796326e+003	(2.00082216097277e+001dB,-1.37404924980943e+000°)
1.99526231496890e+003	(2.00091826618768e+001dB,-1.43897874583881e+000°)
2.08929613085406e+003	(2.00102364877290e+001dB,-1.50699388052159e+000°)
2.18776162394957e+003	(2.00113920486441e+001dB,-1.57824387997400e+000°)
2.29086765276779e+003	(2.00126591727184e+001dB,-1.65288556958137e+000°)
2.39883291901951e+003	(2.00140486388400e+001dB,-1.73108381679484e+000°)
2.51188643150960e+003	(2.00155722689408e+001dB,-1.81301200752813e+000°)
2.63026799189541e+003	(2.00172430292536e+001dB,-1.89885255967399e+000°)
2.75422870333819e+003	(2.00190751414633e+001dB,-1.98879747772495e+000°)
2.88403150312663e+003	(2.00210842047313e+001dB,-2.08304895301860e+000°)
3.01995172040204e+003	(2.00232873296729e+001dB,-2.18182001474388e+000°)
3.16227766016841e+003	(2.00257032854759e+001dB,-2.28533523755540e+000°)
3.31131121482594e+003	(2.00283526614700e+001dB,-2.39383151246268e+000°)
3.46736850452535e+003	(2.00312580445936e+001dB,-2.50755888861001e+000°)
3.63078054770105e+003	(2.00344442143501e+001dB,-2.62678149465970e+000°)
3.80189396320565e+003	(2.00379383570149e+001dB,-2.75177854976504e+000°)
3.98107170553501e+003	(2.00417703010358e+001dB,-2.88284547559658e+000°)
4.16869383470339e+003	(2.00459727757726e+001dB,-3.02029512260548e+000°)
4.36515832240170e+003	(2.00505816959501e+001dB,-3.16445912571005e+000°)
4.57088189614880e+003	(2.00556364744487e+001dB,-3.31568940693046e+000°)
4.78630092322643e+003	(2.00611803663364e+001dB,-3.47435984523011e+000°)
5.01187233627277e+003	(2.00672608473580e+001dB,-3.64086813702625e+000°)
5.24807460249778e+003	(2.00739300304422e+001dB,-3.81563787459335e+000°)
5.49540873857630e+003	(2.00812451241737e+001dB,-3.99912087400831e+000°)
5.75439937337163e+003	(2.00892689376041e+001dB,-4.19179978950564e+000°)
6.02559586074364e+003	(2.00980704362543e+001dB,-4.39419105728016e+000°)
6.30957344480200e+003	(2.01077253546867e+001dB,-4.60684821908582e+000°)
6.60693448007603e+003	(2.01183168716160e+001dB,-4.83036568466663e+000°)
6.91830970918944e+003	(2.01299363541746e+001dB,-5.06538300240575e+000°)
7.24435960074998e+003	(2.01426841786661e+001dB,-5.31258971994692e+000°)
7.58577575029192e+003	(2.01566706359284e+001dB,-5.57273093136456e+000°)
7.94328234724290e+003	(2.01720169302856e+001dB,-5.84661362528012e+000°)
8.31763771102680e+003	(2.01888562819992e+001dB,-6.13511396981703e+000°)
8.70963589956090e+003	(2.02073351441229e+001dB,-6.43918569630116e+000°)
9.12010839355919e+003	(2.02276145457113e+001dB,-6.75986977520865e+000°)
9.54992586021446e+003	(2.02498715743983e+001dB,-7.09830561637312e+000°)
1.00000000000001e+004	(2.02743010124172e+001dB,-7.45574407257754e+000°)
1.04712854805091e+004	(2.03011171410925e+001dB,-7.83356258351347e+000°)
1.09647819614320e+004	(2.03305557296021e+001dB,-8.23328286841611e+000°)
1.14815362149690e+004	(2.03628762242131e+001dB,-8.65659166395743e+000°)
1.20226443461743e+004	(2.03983641539849e+001dB,-9.10536511365934e+000°)
1.25892541179418e+004	(2.04373337677325e+001dB,-9.58169755190023e+000°)
1.31825673855642e+004	(2.04801309142933e+001dB,-1.00879355969033e+001°)
1.38038426460290e+004	(2.05271361729896e+001dB,-1.06267186824228e+001°)
1.44543977074594e+004	(2.05787682323918e+001dB,-1.12010274294541e+001°)
1.51356124843623e+004	(2.06354875011886e+001dB,-1.18142416030130e+001°)
1.58489319246113e+004	(2.06977999123870e+001dB,-1.24702098352266e+001°)
1.65958690743758e+004	(2.07662608470352e+001dB,-1.31733338507158e+001°)
1.73780082874940e+004	(2.08414790499557e+001dB,-1.39286706366017e+001°)
1.81970085861000e+004	(2.09241203281919e+001dB,-1.47420568986964e+001°)
1.90546071796327e+004	(2.10149106988486e+001dB,-1.56202612877211e+001°)
1.99526231496890e+004	(2.11146384652379e+001dB,-1.65711713228647e+001°)
2.08929613085406e+004	(2.12241544160802e+001dB,-1.76040237461920e+001°)
2.18776162394958e+004	(2.13443689122216e+001dB,-1.87296892625071e+001°)
2.29086765276780e+004	(2.14762439732016e+001dB,-1.99610252688648e+001°)
2.39883291901952e+004	(2.16207774870706e+001dB,-2.13133131682391e+001°)
2.51188643150961e+004	(2.17789751679159e+001dB,-2.28047998757206e+001°)
2.63026799189541e+004	(2.19518036196484e+001dB,-2.44573653619742e+001°)
2.75422870333820e+004	(2.21401144617585e+001dB,-2.62973377596315e+001°)
2.88403150312664e+004	(2.23445244296588e+001dB,-2.83564709978784e+001°)
3.01995172040205e+004	(2.25652290718164e+001dB,-3.06730798345997e+001°)
3.16227766016842e+004	(2.28017176055022e+001dB,-3.32932796824900e+001°)
3.31131121482595e+004	(2.30523438340114e+001dB,-3.62721787938187e+001°)
3.46736850452536e+004	(2.33136952372392e+001dB,-3.96746763872356e+001°)
3.63078054770106e+004	(2.35796978348238e+001dB,-4.35751714665648e+001°)
3.80189396320566e+004	(2.38404195864771e+001dB,-4.80549219502676e+001°)
3.98107170553502e+004	(2.40806343040374e+001dB,-5.31950323607352e+001°)
4.16869383470341e+004	(2.42784513051642e+001dB,-5.90624176367212e+001°)
4.36515832240172e+004	(2.44047569288634e+001dB,-6.56866271140343e+001°)
4.57088189614881e+004	(2.44247330089787e+001dB,-7.30290640094778e+001°)
4.78630092322645e+004	(2.43027606227757e+001dB,-8.09543555734854e+001°)
5.01187233627279e+004	(2.40106619161588e+001dB,-8.92228909327225e+001°)
5.24807460249780e+004	(2.35363909077680e+001dB,-9.75220771679613e+001°)
5.49540873857632e+004	(2.28883087943420e+001dB,-1.05532370267373e+002°)
5.75439937337165e+004	(2.20921814487964e+001dB,-1.12996908286808e+002°)
6.02559586074366e+004	(2.11829376327337e+001dB,-1.19760465743762e+002°)
6.30957344480202e+004	(2.01960312197091e+001dB,-1.25768246153270e+002°)
6.60693448007605e+004	(1.91618407507786e+001dB,-1.31039563424938e+002°)
6.91830970918946e+004	(1.81036030158789e+001dB,-1.35636410991599e+002°)
7.24435960075000e+004	(1.70376932444645e+001dB,-1.39638568524701e+002°)
7.58577575029194e+004	(1.59749169685147e+001dB,-1.43127969480226e+002°)
7.94328234724293e+004	(1.49219674556909e+001dB,-1.46180589983518e+002°)
8.31763771102683e+004	(1.38826765009471e+001dB,-1.48863170863902e+002°)
8.70963589956093e+004	(1.28589645329727e+001dB,-1.51232604979718e+002°)
9.12010839355923e+004	(1.18515161976469e+001dB,-1.53336598777675e+002°)
9.54992586021450e+004	(1.08602423364726e+001dB,-1.55214825248083e+002°)
1.00000000000000e+005	(9.88458812702299e+000dB,-1.56900170653833e+002°)
