time	V(vout)	V(n003)
9.012499995648667e-006	7.583604e+000	0.000000e+000
9.019507109069039e-006	7.573070e+000	0.000000e+000
9.020384036416730e-006	7.571743e+000	0.000000e+000
9.020391097527107e-006	7.571732e+000	0.000000e+000
9.020395819873368e-006	7.571724e+000	0.000000e+000
9.020397047724771e-006	7.571722e+000	0.000000e+000
9.020398275576175e-006	7.571721e+000	0.000000e+000
9.020399503427578e-006	7.571719e+000	0.000000e+000
9.020400731278981e-006	7.571717e+000	0.000000e+000
9.020401959130384e-006	7.571715e+000	0.000000e+000
9.020403186981787e-006	7.571713e+000	0.000000e+000
9.020404414833190e-006	7.571712e+000	0.000000e+000
9.160346641285592e-006	7.363469e+000	0.000000e+000
9.300288867737994e-006	7.160489e+000	0.000000e+000
9.440231094190395e-006	6.962770e+000	0.000000e+000
9.580173320642797e-006	6.770313e+000	0.000000e+000
9.720115547095197e-006	6.583118e+000	0.000000e+000
9.860057773547599e-006	6.401184e+000	0.000000e+000
1.000000000000000e-005	6.224512e+000	0.000000e+000
1.000002603002396e-005	6.224479e+000	1.301501e-001
1.000005206004793e-005	6.224447e+000	2.603002e-001
1.000007809007189e-005	6.224414e+000	3.904504e-001
1.000010412009585e-005	6.224382e+000	5.206005e-001
1.000013015011982e-005	6.224350e+000	6.507506e-001
1.000015618014378e-005	6.224317e+000	7.809007e-001
1.000018221016774e-005	6.224285e+000	9.110509e-001
1.000018266498914e-005	6.224284e+000	9.133250e-001
1.000018311981054e-005	6.224284e+000	9.155991e-001
1.000018357463193e-005	6.224283e+000	9.178732e-001
1.000018402945333e-005	6.224282e+000	9.201473e-001
1.000018448427473e-005	6.224282e+000	9.224214e-001
1.000018493909613e-005	6.224281e+000	9.246955e-001
1.000018539391752e-005	6.224281e+000	9.269696e-001
1.000018606023608e-005	6.224280e+000	9.303012e-001
1.000018679848900e-005	6.224279e+000	9.339924e-001
1.000018752488877e-005	6.224278e+000	9.376245e-001
1.000018827999122e-005	6.224277e+000	9.413999e-001
1.000018902668509e-005	6.224277e+000	9.451334e-001
1.000018981094038e-005	6.224276e+000	9.490547e-001
1.000019064704040e-005	6.224275e+000	9.532352e-001
1.000019164880768e-005	6.224273e+000	9.582440e-001
1.000019312810777e-005	6.224271e+000	9.656405e-001
1.000019473501496e-005	6.224269e+000	9.736751e-001
1.000019666348478e-005	6.224267e+000	9.833174e-001
1.000019892210011e-005	6.224264e+000	9.946105e-001
1.000100000000000e-005	6.223267e+000	5.000000e+000
1.001929705712098e-005	6.200649e+000	5.000000e+000
1.003759411424197e-005	6.178272e+000	5.000000e+000
1.005589117136295e-005	6.156137e+000	5.000000e+000
1.007418822848394e-005	6.134243e+000	5.000000e+000
1.009248528560492e-005	6.112590e+000	5.000000e+000
1.011078234272590e-005	6.091178e+000	5.000000e+000
1.012907939984689e-005	6.070008e+000	5.000000e+000
1.022673564984689e-005	5.959816e+000	5.000000e+000
1.032439189984688e-005	5.855066e+000	5.000000e+000
1.042204814984688e-005	5.756255e+000	5.000000e+000
1.061736064984688e-005	5.576360e+000	5.000000e+000
1.091032939984688e-005	5.350357e+000	5.000000e+000
1.106378922127545e-005	5.253309e+000	5.000000e+000
1.121724904270402e-005	5.169579e+000	5.000000e+000
1.137070886413259e-005	5.099167e+000	5.000000e+000
1.152416868556116e-005	5.042072e+000	5.000000e+000
1.167762850698973e-005	4.998294e+000	5.000000e+000
1.183108832841830e-005	4.967834e+000	5.000000e+000
1.198454814984687e-005	4.950691e+000	5.000000e+000
1.208220439984687e-005	4.945725e+000	5.000000e+000
1.217986064984687e-005	4.945626e+000	5.000000e+000
1.227751689984687e-005	4.950300e+000	5.000000e+000
1.237517314984687e-005	4.959651e+000	5.000000e+000
1.247282939984687e-005	4.973580e+000	5.000000e+000
1.257048564984687e-005	4.991984e+000	5.000000e+000
1.276579814984687e-005	5.041800e+000	5.000000e+000
