time	V(vout)
8.501792812502110e-006	6.488008e+000
8.501799187502045e-006	6.488010e+000
8.501811937501915e-006	6.488016e+000
8.501837437501655e-006	6.488029e+000
8.501888437501135e-006	6.488052e+000
8.501999999999999e-006	6.488104e+000
8.573142857142857e-006	6.519414e+000
8.644285714285714e-006	6.547102e+000
8.715428571428572e-006	6.571167e+000
8.786571428571428e-006	6.591609e+000
8.857714285714286e-006	6.608430e+000
8.928857142857142e-006	6.621627e+000
9.000000000000000e-006	6.631202e+000
9.000125000000001e-006	6.631216e+000
9.000175000000001e-006	6.631222e+000
9.000275000000001e-006	6.631233e+000
9.000300000000001e-006	6.631236e+000
9.001000000000001e-006	6.631313e+000
9.072428571428572e-006	6.640147e+000
9.143857142857143e-006	6.650487e+000
9.215285714285714e-006	6.662332e+000
9.286714285714286e-006	6.675682e+000
9.358142857142857e-006	6.690537e+000
9.429571428571428e-006	6.706898e+000
9.500999999999999e-006	6.724763e+000
9.501776875002274e-006	6.724965e+000
9.501789625002143e-006	6.724968e+000
9.501792812502110e-006	6.724968e+000
9.501799187502046e-006	6.724970e+000
9.501811937501915e-006	6.724974e+000
9.501837437501656e-006	6.724980e+000
9.501888437501135e-006	6.724993e+000
9.502000000000000e-006	6.725022e+000
9.554610562472226e-006	6.737602e+000
9.607221124944450e-006	6.748238e+000
9.659831687416676e-006	6.756931e+000
9.712442249888901e-006	6.763681e+000
9.765052812361127e-006	6.768487e+000
9.817663374833351e-006	6.771350e+000
9.870273937305577e-006	6.772270e+000
9.900273937305577e-006	6.771978e+000
9.914520517690494e-006	6.771623e+000
9.928767098075413e-006	6.771135e+000
9.943013678460330e-006	6.770512e+000
9.957260258845248e-006	6.769755e+000
9.971506839230165e-006	6.768864e+000
9.985753419615084e-006	6.767839e+000
1.000000000000000e-005	6.766680e+000
1.000012500000000e-005	6.766669e+000
1.000017500000000e-005	6.766665e+000
1.000027500000000e-005	6.766656e+000
1.000030000000000e-005	6.766654e+000
1.000100000000000e-005	6.766594e+000
1.004180705357141e-005	6.763367e+000
1.008261410714282e-005	6.760692e+000
1.012342116071423e-005	6.758568e+000
1.016422821428565e-005	6.756996e+000
1.020503526785706e-005	6.755976e+000
1.024584232142847e-005	6.755507e+000
1.028664937499988e-005	6.755589e+000
1.031727089285704e-005	6.756004e+000
1.034789241071420e-005	6.756713e+000
1.037851392857136e-005	6.757717e+000
1.040913544642852e-005	6.759016e+000
1.043975696428568e-005	6.760610e+000
1.047037848214284e-005	6.762499e+000
1.050100000000000e-005	6.764683e+000
1.050177687500771e-005	6.764742e+000
1.050178962500727e-005	6.764743e+000
1.050179281250716e-005	6.764744e+000
1.050179918750694e-005	6.764744e+000
1.050181193750650e-005	6.764745e+000
1.050183743750561e-005	6.764747e+000
1.050188843750385e-005	6.764751e+000
1.050200000000000e-005	6.764760e+000
1.054175341955185e-005	6.767210e+000
1.058150683910371e-005	6.768598e+000
1.062126025865556e-005	6.768921e+000
1.066101367820742e-005	6.768180e+000
1.070076709775927e-005	6.766376e+000
1.074052051731113e-005	6.763507e+000
1.078027393686298e-005	6.759575e+000
1.081166337445399e-005	6.755740e+000
1.084305281204499e-005	6.751277e+000
1.087444224963599e-005	6.746185e+000
1.090583168722699e-005	6.740466e+000
1.093722112481800e-005	6.734118e+000
1.096861056240900e-005	6.727143e+000
1.100000000000000e-005	6.719539e+000
1.100012500000000e-005	6.719508e+000
1.100017500000000e-005	6.719495e+000
1.100027500000000e-005	6.719470e+000
1.100030000000000e-005	6.719463e+000
1.100100000000000e-005	6.719287e+000
