time	V(vout)	V(n003)	I(L1)
1.573142857142857e-006	7.190388e-001	0.000000e+000	9.593675e-001
1.644285714285714e-006	7.763796e-001	0.000000e+000	9.539290e-001
1.715428571428572e-006	8.325386e-001	0.000000e+000	9.481161e-001
1.786571428571429e-006	8.875159e-001	0.000000e+000	9.419287e-001
1.857714285714286e-006	9.413114e-001	0.000000e+000	9.353669e-001
1.928857142857143e-006	9.939253e-001	0.000000e+000	9.284307e-001
2.000000000000000e-006	1.045357e+000	0.000000e+000	9.211200e-001
2.000124999999992e-006	1.045446e+000	6.250000e-001	9.211069e-001
2.000174999999989e-006	1.045482e+000	8.750000e-001	9.211101e-001
2.000274999999983e-006	1.045553e+000	1.375000e+000	9.211428e-001
2.000278124999983e-006	1.045555e+000	1.390625e+000	9.211448e-001
2.001000000000000e-006	1.046070e+000	5.000000e+000	9.217911e-001
2.072428571428571e-006	1.099526e+000	5.000000e+000	9.855891e-001
2.143857142857143e-006	1.156384e+000	5.000000e+000	1.048940e+000
2.215285714285714e-006	1.216645e+000	5.000000e+000	1.111845e+000
2.286714285714286e-006	1.280307e+000	5.000000e+000	1.174302e+000
2.358142857142857e-006	1.347372e+000	5.000000e+000	1.236313e+000
2.429571428571428e-006	1.417838e+000	5.000000e+000	1.297877e+000
2.501000000000000e-006	1.491707e+000	5.000000e+000	1.358994e+000
2.501750000000015e-006	1.492502e+000	1.250000e+000	1.359632e+000
2.501775000000013e-006	1.492529e+000	1.125000e+000	1.359648e+000
2.501825000000011e-006	1.492582e+000	8.750000e-001	1.359669e+000
2.501826562500011e-006	1.492584e+000	8.671875e-001	1.359669e+000
2.502000000000000e-006	1.492768e+000	0.000000e+000	1.359643e+000
2.573142857142857e-006	1.567162e+000	0.000000e+000	1.348569e+000
2.644285714285714e-006	1.639750e+000	0.000000e+000	1.337027e+000
2.715428571428571e-006	1.710535e+000	0.000000e+000	1.325015e+000
2.786571428571429e-006	1.779514e+000	0.000000e+000	1.312535e+000
2.857714285714286e-006	1.846688e+000	0.000000e+000	1.299585e+000
2.928857142857143e-006	1.912058e+000	0.000000e+000	1.286166e+000
3.000000000000000e-006	1.975622e+000	0.000000e+000	1.272279e+000
3.000124999999993e-006	1.975732e+000	6.250000e-001	1.272254e+000
3.000174999999990e-006	1.975776e+000	8.750000e-001	1.272253e+000
3.000274999999985e-006	1.975863e+000	1.375000e+000	1.272276e+000
3.000278124999984e-006	1.975866e+000	1.390625e+000	1.272278e+000
3.001000000000000e-006	1.976499e+000	5.000000e+000	1.272857e+000
3.072428571428572e-006	2.041338e+000	5.000000e+000	1.329943e+000
3.143857142857143e-006	2.108973e+000	5.000000e+000	1.386517e+000
3.215285714285714e-006	2.179403e+000	5.000000e+000	1.442581e+000
3.286714285714286e-006	2.252629e+000	5.000000e+000	1.498133e+000
3.358142857142857e-006	2.328650e+000	5.000000e+000	1.553173e+000
3.429571428571429e-006	2.407467e+000	5.000000e+000	1.607702e+000
3.501000000000000e-006	2.489079e+000	5.000000e+000	1.661720e+000
3.501750000000016e-006	2.489952e+000	1.250000e+000	1.662284e+000
3.501775000000014e-006	2.489981e+000	1.125000e+000	1.662298e+000
3.501825000000011e-006	2.490040e+000	8.750000e-001	1.662313e+000
3.501826562500011e-006	2.490041e+000	8.671875e-001	1.662313e+000
3.502000000000000e-006	2.490243e+000	0.000000e+000	1.662270e+000
3.573142857142857e-006	2.571587e+000	0.000000e+000	1.644053e+000
3.644285714285714e-006	2.650559e+000	0.000000e+000	1.625332e+000
3.715428571428572e-006	2.727159e+000	0.000000e+000	1.606107e+000
3.786571428571429e-006	2.801386e+000	0.000000e+000	1.586379e+000
3.857714285714286e-006	2.873241e+000	0.000000e+000	1.566147e+000
3.928857142857143e-006	2.942724e+000	0.000000e+000	1.545411e+000
4.000000000000000e-006	3.009835e+000	0.000000e+000	1.524172e+000
4.000125000000000e-006	3.009950e+000	6.250000e-001	1.524134e+000
4.000175000000000e-006	3.009996e+000	8.750000e-001	1.524127e+000
4.000275000000000e-006	3.010088e+000	1.375000e+000	1.524145e+000
4.000300000000001e-006	3.010111e+000	1.500000e+000	1.524157e+000
4.001000000000000e-006	3.010757e+000	5.000000e+000	1.524646e+000
4.072428571428571e-006	3.078441e+000	5.000000e+000	1.574317e+000
4.143857142857142e-006	3.148392e+000	5.000000e+000	1.623470e+000
4.215285714285714e-006	3.220609e+000	5.000000e+000	1.672104e+000
4.286714285714285e-006	3.295094e+000	5.000000e+000	1.720219e+000
4.358142857142857e-006	3.371845e+000	5.000000e+000	1.767816e+000
4.429571428571429e-006	3.450863e+000	5.000000e+000	1.814894e+000
4.501000000000000e-006	3.532148e+000	5.000000e+000	1.861454e+000
4.501750000000000e-006	3.533015e+000	1.250000e+000	1.861939e+000
4.501775000000000e-006	3.533044e+000	1.125000e+000	1.861951e+000
4.501825000000000e-006	3.533101e+000	8.750000e-001	1.861961e+000
4.501826562500000e-006	3.533103e+000	8.671875e-001	1.861961e+000
4.502000000000000e-006	3.533303e+000	0.000000e+000	1.861900e+000
4.573142857142857e-006	3.613670e+000	0.000000e+000	1.836252e+000
4.644285714285715e-006	3.691194e+000	0.000000e+000	1.810119e+000
4.715428571428572e-006	3.765875e+000	0.000000e+000	1.783499e+000
4.786571428571429e-006	3.837712e+000	0.000000e+000	1.756393e+000
4.857714285714285e-006	3.906707e+000	0.000000e+000	1.728801e+000
4.928857142857142e-006	3.972858e+000	0.000000e+000	1.700723e+000
5.000000000000000e-006	4.036166e+000	0.000000e+000	1.672159e+000
5.000125000000000e-006	4.036274e+000	6.250000e-001	1.672108e+000
5.000175000000000e-006	4.036317e+000	8.750000e-001	1.672096e+000
5.000275000000000e-006	4.036404e+000	1.375000e+000	1.672103e+000
5.000300000000000e-006	4.036426e+000	1.500000e+000	1.672113e+000
5.000999999999999e-006	4.037031e+000	5.000000e+000	1.672531e+000
5.072428571428571e-006	4.100310e+000	5.000000e+000	1.714879e+000
5.143857142857142e-006	4.165440e+000	5.000000e+000	1.756749e+000
5.215285714285714e-006	4.232421e+000	5.000000e+000	1.798141e+000
5.286714285714285e-006	4.301253e+000	5.000000e+000	1.839054e+000
5.358142857142857e-006	4.371936e+000	5.000000e+000	1.879488e+000
5.429571428571429e-006	4.444471e+000	5.000000e+000	1.919444e+000
5.501000000000000e-006	4.518857e+000	5.000000e+000	1.958921e+000
5.501750000000000e-006	4.519649e+000	1.250000e+000	1.959332e+000
5.501775000000000e-006	4.519675e+000	1.125000e+000	1.959341e+000
5.501825000000000e-006	4.519728e+000	8.750000e-001	1.959346e+000
5.501826562499999e-006	4.519730e+000	8.671875e-001	1.959346e+000
5.501999999999999e-006	4.519912e+000	1.742606e-012	1.959267e+000
5.573142857142856e-006	4.592900e+000	9.889355e-013	1.926623e+000
5.644285714285714e-006	4.662695e+000	4.035072e-013	1.893552e+000
5.715428571428571e-006	4.729298e+000	-1.367882e-014	1.860053e+000
5.786571428571428e-006	4.792708e+000	-2.626225e-013	1.826126e+000
5.857714285714285e-006	4.852925e+000	-3.433240e-013	1.791772e+000
5.928857142857142e-006	4.909950e+000	-2.557831e-013	1.756991e+000
5.999999999999999e-006	4.963783e+000	0.000000e+000	1.721782e+000
6.000124999999950e-006	4.963874e+000	6.250000e-001	1.721720e+000
6.000174999999929e-006	4.963910e+000	8.750000e-001	1.721704e+000
6.000274999999890e-006	4.963983e+000	1.375000e+000	1.721697e+000
6.000278124999888e-006	4.963985e+000	1.390625e+000	1.721698e+000
6.001000000000000e-006	4.964511e+000	5.000000e+000	1.722061e+000
6.072428571428572e-006	5.017846e+000	5.000000e+000	1.757822e+000
6.143857142857143e-006	5.072746e+000	5.000000e+000	1.793178e+000
6.215285714285715e-006	5.129212e+000	5.000000e+000	1.828131e+000
6.286714285714285e-006	5.187242e+000	5.000000e+000	1.862681e+000
6.358142857142857e-006	5.246838e+000	5.000000e+000	1.896826e+000
6.429571428571429e-006	5.307999e+000	5.000000e+000	1.930568e+000
6.501000000000000e-006	5.370726e+000	5.000000e+000	1.963906e+000
6.501750000000000e-006	5.371393e+000	1.250000e+000	1.964253e+000
6.501775000000000e-006	5.371416e+000	1.125000e+000	1.964261e+000
6.501825000000000e-006	5.371460e+000	8.750000e-001	1.964262e+000
6.501826562500000e-006	5.371461e+000	8.671875e-001	1.964261e+000
6.502000000000000e-006	5.371616e+000	1.742606e-012	1.964168e+000
6.573142857142857e-006	5.432647e+000	9.889355e-013	1.925511e+000
6.644285714285714e-006	5.490266e+000	4.035072e-013	1.886514e+000
6.715428571428571e-006	5.544475e+000	-1.367882e-014	1.847176e+000
6.786571428571428e-006	5.595272e+000	-2.626225e-013	1.807498e+000
6.857714285714286e-006	5.642659e+000	-3.433240e-013	1.767480e+000
6.928857142857143e-006	5.686634e+000	-2.557831e-013	1.727121e+000
7.000000000000000e-006	5.727199e+000	0.000000e+000	1.686422e+000
7.000125000000000e-006	5.727266e+000	6.250000e-001	1.686350e+000
7.000175000000000e-006	5.727293e+000	8.750000e-001	1.686330e+000
7.000275000000001e-006	5.727347e+000	1.375000e+000	1.686320e+000
7.000300000000001e-006	5.727361e+000	1.500000e+000	1.686326e+000
7.001000000000000e-006	5.727739e+000	5.000000e+000	1.686625e+000
7.072428571428571e-006	5.767496e+000	5.000000e+000	1.716989e+000
7.143857142857142e-006	5.808661e+000	5.000000e+000	1.747046e+000
7.215285714285714e-006	5.851236e+000	5.000000e+000	1.776797e+000
7.286714285714285e-006	5.895220e+000	5.000000e+000	1.806241e+000
7.358142857142857e-006	5.940614e+000	5.000000e+000	1.835379e+000
7.429571428571429e-006	5.987417e+000	5.000000e+000	1.864211e+000
7.501000000000000e-006	6.035629e+000	5.000000e+000	1.892737e+000
7.501750000000000e-006	6.036143e+000	1.250000e+000	1.893034e+000
7.501775000000000e-006	6.036160e+000	1.125000e+000	1.893040e+000
7.501825000000000e-006	6.036195e+000	8.750000e-001	1.893037e+000
7.501826562500000e-006	6.036196e+000	8.671875e-001	1.893037e+000
7.502000000000000e-006	6.036314e+000	0.000000e+000	1.892932e+000
7.573142857142858e-006	6.082717e+000	0.000000e+000	1.849608e+000
7.644285714285715e-006	6.125616e+000	0.000000e+000	1.806047e+000
7.715428571428571e-006	6.165012e+000	0.000000e+000	1.762247e+000
7.786571428571429e-006	6.200904e+000	0.000000e+000	1.718210e+000
7.857714285714285e-006	6.233294e+000	0.000000e+000	1.673935e+000
7.928857142857143e-006	6.262181e+000	0.000000e+000	1.629422e+000
8.000000000000000e-006	6.287565e+000	0.000000e+000	1.584671e+000
8.000124999999951e-006	6.287606e+000	6.250000e-001	1.584592e+000
8.000174999999931e-006	6.287622e+000	8.750000e-001	1.584569e+000
8.000274999999892e-006	6.287655e+000	1.375000e+000	1.584550e+000
8.000278124999891e-006	6.287656e+000	1.390625e+000	1.584550e+000
8.001000000000000e-006	6.287892e+000	5.000000e+000	1.584818e+000
8.072428571428571e-006	6.312309e+000	5.000000e+000	1.611247e+000
8.143857142857142e-006	6.338101e+000	5.000000e+000	1.637477e+000
8.215285714285713e-006	6.365269e+000	5.000000e+000	1.663506e+000
8.286714285714286e-006	6.393814e+000	5.000000e+000	1.689335e+000
8.358142857142857e-006	6.423735e+000	5.000000e+000	1.714964e+000
8.429571428571428e-006	6.455032e+000	5.000000e+000	1.740394e+000
8.500999999999999e-006	6.487705e+000	5.000000e+000	1.765623e+000
8.501750000000000e-006	6.488056e+000	1.250000e+000	1.765886e+000
8.501775000000000e-006	6.488068e+000	1.125000e+000	1.765891e+000
8.501825000000001e-006	6.488091e+000	8.750000e-001	1.765886e+000
8.501826562500001e-006	6.488092e+000	8.671875e-001	1.765886e+000
8.501999999999999e-006	6.488173e+000	1.742606e-012	1.765773e+000
8.573142857142857e-006	6.519074e+000	9.889355e-013	1.719304e+000
8.644285714285714e-006	6.546492e+000	4.035072e-013	1.672703e+000
8.715428571428572e-006	6.570426e+000	-1.367882e-014	1.625970e+000
8.786571428571428e-006	6.590878e+000	-2.626225e-013	1.579105e+000
8.857714285714286e-006	6.607847e+000	-3.433240e-013	1.532108e+000
8.928857142857142e-006	6.621333e+000	-2.557831e-013	1.484979e+000
9.000000000000000e-006	6.631337e+000	0.000000e+000	1.437719e+000
9.000124999999951e-006	6.631351e+000	6.250000e-001	1.437635e+000
9.000174999999931e-006	6.631356e+000	8.750000e-001	1.437611e+000
9.000274999999892e-006	6.631368e+000	1.375000e+000	1.437587e+000
9.000278124999892e-006	6.631368e+000	1.390625e+000	1.437588e+000
9.001000000000001e-006	6.631448e+000	5.000000e+000	1.437831e+000
9.072428571428572e-006	6.640466e+000	5.000000e+000	1.461876e+000
9.143857142857143e-006	6.650929e+000	5.000000e+000	1.485825e+000
9.215285714285714e-006	6.662837e+000	5.000000e+000	1.509678e+000
9.286714285714286e-006	6.676189e+000	5.000000e+000	1.533437e+000
9.358142857142857e-006	6.690987e+000	5.000000e+000	1.557100e+000
9.429571428571428e-006	6.707229e+000	5.000000e+000	1.580667e+000
9.500999999999999e-006	6.724916e+000	5.000000e+000	1.604139e+000
9.501750000000001e-006	6.725110e+000	1.250000e+000	1.604385e+000
9.501775000000001e-006	6.725117e+000	1.125000e+000	1.604388e+000
9.501825000000001e-006	6.725130e+000	8.750000e-001	1.604383e+000
9.501826562500002e-006	6.725130e+000	8.671875e-001	1.604382e+000
9.502000000000000e-006	6.725175e+000	1.742606e-012	1.604265e+000
9.560999999999997e-006	6.738445e+000	7.696401e-013	1.564424e+000
9.619999999999994e-006	6.749512e+000	3.801496e-014	1.524547e+000
9.678999999999992e-006	6.758377e+000	-4.522695e-013	1.484634e+000
9.737999999999991e-006	6.765040e+000	-7.012132e-013	1.444686e+000
9.796999999999988e-006	6.769501e+000	-7.088162e-013	1.404701e+000
9.855999999999985e-006	6.771759e+000	-4.750785e-013	1.364680e+000
9.914999999999982e-006	6.771815e+000	0.000000e+000	1.324623e+000
9.962999999999925e-006	6.769632e+000	0.000000e+000	1.292063e+000
1.000000000000000e-005	6.766893e+000	8.470329e-012	1.266973e+000
1.000012500000000e-005	6.766883e+000	6.250000e-001	1.266888e+000
1.000017500000000e-005	6.766879e+000	8.750000e-001	1.266863e+000
1.000027500000000e-005	6.766870e+000	1.375000e+000	1.266843e+000
1.000030000000000e-005	6.766868e+000	1.500000e+000	1.266846e+000
1.000100000000000e-005	6.766807e+000	5.000000e+000	1.267072e+000
1.006028571428572e-005	6.762647e+000	5.000000e+000	1.286262e+000
1.011957142857143e-005	6.759529e+000	5.000000e+000	1.305458e+000
1.017885714285715e-005	6.757453e+000	5.000000e+000	1.324660e+000
1.023814285714286e-005	6.756420e+000	5.000000e+000	1.343868e+000
1.029742857142858e-005	6.756429e+000	5.000000e+000	1.363082e+000
1.035671428571429e-005	6.757480e+000	5.000000e+000	1.382301e+000
1.041600000000001e-005	6.759573e+000	5.000000e+000	1.401526e+000
1.050100000000000e-005	6.764907e+000	5.000000e+000	1.429036e+000
1.050175000000010e-005	6.764964e+000	1.250000e+000	1.429278e+000
1.050177500000009e-005	6.764966e+000	1.125000e+000	1.429282e+000
1.050182500000007e-005	6.764970e+000	8.750000e-001	1.429276e+000
1.050182656250007e-005	6.764970e+000	8.671875e-001	1.429276e+000
1.050200000000000e-005	6.764983e+000	1.742606e-012	1.429158e+000
1.051927894530650e-005	6.766155e+000	6.057000e-013	1.417444e+000
1.053655789061300e-005	6.767087e+000	-2.352186e-013	1.405730e+000
1.055383683591949e-005	6.767779e+000	-7.801498e-013	1.394015e+000
