time	V(vout)
1.349647155435089e-003	9.997732e+000
1.357211811801502e-003	9.977992e+000
1.364776468167914e-003	9.964438e+000
1.372341124534327e-003	9.957070e+000
1.379905780900739e-003	9.955888e+000
1.387470437267151e-003	9.960892e+000
1.395035093633564e-003	9.972082e+000
1.402599749999976e-003	9.989458e+000
1.402855749999953e-003	9.990168e+000
1.403367749999905e-003	9.991604e+000
1.404391749999810e-003	9.994333e+000
1.406439749999620e-003	9.998339e+000
1.410535749999241e-003	1.000091e+001
1.418727749998482e-003	9.999144e+000
1.435111749996963e-003	9.997166e+000
1.439829321425097e-003	1.000074e+001
1.444546892853232e-003	1.000327e+001
1.449264464281366e-003	1.000473e+001
1.453982035709500e-003	1.000514e+001
1.458699607137634e-003	1.000450e+001
1.463417178565769e-003	1.000280e+001
1.468134749993903e-003	1.000004e+001
1.468390749993879e-003	9.999861e+000
1.468902749993832e-003	9.999489e+000
1.469926749993737e-003	9.998775e+000
1.476070749993167e-003	9.997004e+000
1.477314035707338e-003	9.996939e+000
1.478557321421508e-003	9.996942e+000
1.479800607135679e-003	9.997011e+000
1.481043892849849e-003	9.997148e+000
1.482287178564020e-003	9.997351e+000
1.483530464278190e-003	9.997621e+000
1.484773749992361e-003	9.997957e+000
1.486309749992218e-003	9.998252e+000
1.488357749992029e-003	9.998354e+000
1.489089035706247e-003	9.998369e+000
1.489820321420465e-003	9.998363e+000
1.490551607134683e-003	9.998336e+000
1.491282892848900e-003	9.998288e+000
1.492014178563118e-003	9.998220e+000
1.492745464277336e-003	9.998130e+000
1.493476749991554e-003	9.998019e+000
1.494500749991459e-003	9.997887e+000
1.494866321419997e-003	9.997836e+000
1.495231892848534e-003	9.997789e+000
1.495597464277072e-003	9.997746e+000
1.495963035705610e-003	9.997708e+000
1.496328607134147e-003	9.997674e+000
1.496694178562685e-003	9.997644e+000
1.497059749991222e-003	9.997619e+000
1.497571749991175e-003	9.997592e+000
1.497754464276872e-003	9.997582e+000
1.497937178562569e-003	9.997574e+000
1.498119892848267e-003	9.997567e+000
1.498302607133964e-003	9.997560e+000
1.498485321419661e-003	9.997555e+000
1.498668035705359e-003	9.997552e+000
1.498850749991056e-003	9.997549e+000
1.499106749991032e-003	9.997548e+000
1.499234499992314e-003	9.997547e+000
1.499362249993595e-003	9.997547e+000
1.499489999994876e-003	9.997547e+000
1.499617749996157e-003	9.997547e+000
1.499745499997438e-003	9.997548e+000
1.499873249998719e-003	9.997550e+000
1.500001000000000e-003	9.997552e+000
1.500001750000000e-003	9.997552e+000
1.500001775000000e-003	9.997552e+000
1.500001825000000e-003	9.997552e+000
1.500001826562500e-003	9.997552e+000
1.500002000000000e-003	9.997552e+000
1.500071118945144e-003	9.994344e+000
1.500140237890288e-003	9.985612e+000
1.500209356835433e-003	9.971355e+000
1.500278475780577e-003	9.951573e+000
1.500347594725721e-003	9.926267e+000
1.500416713670865e-003	9.895436e+000
1.500485832616009e-003	9.859080e+000
1.500969672614831e-003	9.478999e+000
1.501937352612474e-003	8.394508e+000
1.502064907249142e-003	8.216922e+000
1.502120520812325e-003	8.129381e+000
1.502124600021541e-003	8.122870e+000
1.502128679230758e-003	8.116344e+000
1.502132758439974e-003	8.109806e+000
1.502136837649190e-003	8.103253e+000
1.502140916858406e-003	8.096687e+000
1.502144996067622e-003	8.090108e+000
1.502149075276839e-003	8.083515e+000
1.502149076637049e-003	8.083513e+000
1.502149077276324e-003	8.083512e+000
1.502149077670051e-003	8.083511e+000
1.502149078040573e-003	8.083510e+000
1.502149078444913e-003	8.083510e+000
1.502149078823916e-003	8.083509e+000
1.502149079220331e-003	8.083508e+000
1.502149079597791e-003	8.083508e+000
1.502149079987201e-003	8.083508e+000
1.502149080361453e-003	8.083507e+000
1.502149081102988e-003	8.083506e+000
1.502149081599999e-003	8.083505e+000
1.502149082097009e-003	8.083504e+000
1.502149082594020e-003	8.083503e+000
1.502149083091031e-003	8.083502e+000
1.502149083588041e-003	8.083502e+000
1.502149084085052e-003	8.083501e+000
1.502149084582062e-003	8.083500e+000
1.502516491238766e-003	7.526049e+000
1.502883897895470e-003	7.001790e+000
1.503251304552173e-003	6.510723e+000
1.503618711208877e-003	6.052849e+000
1.503986117865580e-003	5.628166e+000
1.504353524522284e-003	5.236675e+000
1.504720931178987e-003	4.878376e+000
1.505909824108330e-003	3.861244e+000
1.507206242300971e-003	2.998703e+000
1.509087209262017e-003	2.080364e+000
1.511120369456737e-003	1.381415e+000
1.513102023345642e-003	9.219151e-001
1.514994562786034e-003	6.272869e-001
1.516898330027900e-003	4.267601e-001
1.518802755510472e-003	2.903057e-001
1.520725310691848e-003	1.967286e-001
1.522636488620215e-003	1.335754e-001
1.524554132538649e-003	9.059170e-002
1.526464318332692e-003	6.152848e-002
1.528380859047495e-003	4.174023e-002
1.530292537515575e-003	2.834133e-002
1.532208472706262e-003	1.922828e-002
1.534120749881078e-003	1.305437e-002
1.536036053677019e-003	8.857857e-003
1.537948800688909e-003	6.013230e-003
1.539863719334508e-003	4.080491e-003
1.541776814141541e-003	2.769904e-003
1.543691450734996e-003	1.879724e-003
1.545604791361471e-003	1.275938e-003
1.547519234642189e-003	8.659216e-004
1.549432762173291e-003	5.877672e-004
1.551347083410784e-003	3.989089e-004
1.553260765916470e-003	2.707708e-004
1.555175032795116e-003	1.837786e-004
1.557088873759683e-003	1.247499e-004
1.559003172965100e-003	8.467884e-005
1.560917231275390e-003	5.748674e-005
1.562831707530901e-003	3.902869e-005
1.564746147456794e-003	2.650252e-005
1.566661084065758e-003	1.800007e-005
1.568576288095006e-003	1.222987e-005
1.570492277845239e-003	8.313308e-006
1.572409094185590e-003	5.655268e-006
1.574327406963616e-003	3.851147e-006
1.576247687203555e-003	2.626731e-006
1.578171062291139e-003	1.795688e-006
1.580098821664357e-003	1.231679e-006
1.582033168242377e-003	8.488860e-007
1.583977066715358e-003	5.891087e-007
1.585935072302186e-003	4.128237e-007
1.587913629205655e-003	2.932247e-007
1.589922237255055e-003	2.121155e-007
1.591974436792363e-003	1.571578e-007
1.594089686182352e-003	1.199837e-007
1.598630180257172e-003	7.814012e-008
1.607060251305849e-003	5.529603e-008
2.000000000000000e-003	5.005000e-008
2.000000175000000e-003	5.005000e-008
2.000000177218752e-003	5.005000e-008
2.000000181656256e-003	5.005000e-008
2.000000181776181e-003	5.005001e-008
2.000000182016030e-003	5.005001e-008
2.000000182495730e-003	5.005001e-008
2.000000183426729e-003	5.005001e-008
2.000000184407337e-003	5.005003e-008
2.000000185327899e-003	5.005005e-008
2.000000186184230e-003	5.005009e-008
2.000000186994827e-003	5.005016e-008
2.000000187858414e-003	5.005029e-008
2.000000188642648e-003	5.005049e-008
2.000000189458339e-003	5.005085e-008
2.000000190269297e-003	5.005147e-008
2.000000191202655e-003	5.005267e-008
2.000000192387453e-003	5.005518e-008
2.000000193981473e-003	5.006055e-008
2.000000195878118e-003	5.006995e-008
2.000000197876558e-003	5.008407e-008
2.000000200912424e-003	5.011489e-008
2.000000315067792e-003	6.042947e-008
2.000000429223160e-003	8.291946e-008
2.000000543378528e-003	1.175849e-007
2.000000657533896e-003	1.644257e-007
2.000000771689264e-003	2.234419e-007
2.000000885844632e-003	2.946335e-007
2.000001000000000e-003	3.780005e-007
2.000001152872216e-003	5.175372e-007
2.000001327583320e-003	7.124297e-007
2.000001677005528e-003	1.216646e-006
2.000002375849943e-003	2.682747e-006
2.000003773538775e-003	7.445137e-006
2.000006568916437e-003	2.428682e-005
2.000012159671763e-003	8.720696e-005
2.000023341182413e-003	3.297468e-004
2.000045704203715e-003	1.279633e-003
2.000090430246318e-003	5.022499e-003
2.000179882331523e-003	1.974864e-002
2.000358786501935e-003	7.612354e-002
2.000692285195822e-003	2.589476e-001
2.001151490572503e-003	6.579269e-001
2.001796310276370e-003	1.460748e+000
2.002586134630161e-003	2.734653e+000
2.003572641124972e-003	4.602887e+000
2.004718004673218e-003	6.884641e+000
2.006084631137607e-003	9.395027e+000
2.007676209498206e-003	1.160564e+001
2.009654261915240e-003	1.308382e+001
2.011545555919620e-003	1.325273e+001
2.013299631484763e-003	1.252299e+001
2.015005602200973e-003	1.139815e+001
2.016920815090716e-003	1.016368e+001
2.019238654221196e-003	9.122239e+000
2.021254742709345e-003	8.784950e+000
2.023504264600381e-003	8.977398e+000
2.025635492267529e-003	9.442110e+000
2.028468623597037e-003	1.005946e+001
2.031439339839914e-003	1.040492e+001
2.034272699956661e-003	1.038240e+001
2.037692703534536e-003	1.011801e+001
2.041052438064618e-003	9.909721e+000
2.045939939062504e-003	9.869007e+000
2.050527103922715e-003	9.978048e+000
2.055624569233818e-003	1.005461e+001
2.061861647781319e-003	1.001809e+001
2.068397345516167e-003	9.977687e+000
2.078482330396498e-003	9.996916e+000
2.087951153614250e-003	1.000807e+001
2.102088002245791e-003	9.994627e+000
2.116590976711200e-003	9.995161e+000
2.145444522591023e-003	9.998157e+000
2.175327891994043e-003	9.996705e+000
2.217262740506103e-003	9.998375e+000
2.273469429409501e-003	9.997471e+000
2.349646964523246e-003	9.997731e+000
2.357211648162779e-003	9.977988e+000
2.364776331802312e-003	9.964432e+000
2.372341015441845e-003	9.957063e+000
2.379905699081378e-003	9.955881e+000
2.387470382720911e-003	9.960887e+000
2.395035066360443e-003	9.972079e+000
2.402599749999976e-003	9.989458e+000
2.402855749999953e-003	9.990168e+000
2.403367749999905e-003	9.991604e+000
2.404391749999810e-003	9.994333e+000
2.406439749999620e-003	9.998339e+000
2.410535749999241e-003	1.000091e+001
2.418727749998482e-003	9.999144e+000
2.435111749996963e-003	9.997166e+000
2.439829321425098e-003	1.000074e+001
2.444546892853232e-003	1.000327e+001
2.449264464281366e-003	1.000473e+001
2.453982035709500e-003	1.000514e+001
2.458699607137634e-003	1.000450e+001
2.463417178565768e-003	1.000280e+001
2.468134749993903e-003	1.000004e+001
2.468390749993879e-003	9.999861e+000
2.468902749993832e-003	9.999489e+000
2.469926749993737e-003	9.998775e+000
2.476070749993167e-003	9.997004e+000
2.477314035707338e-003	9.996939e+000
2.478557321421509e-003	9.996942e+000
2.479800607135679e-003	9.997011e+000
2.481043892849849e-003	9.997148e+000
2.482287178564020e-003	9.997351e+000
2.483530464278190e-003	9.997621e+000
2.484773749992361e-003	9.997957e+000
2.486309749992218e-003	9.998252e+000
2.488357749992029e-003	9.998354e+000
2.489089035706246e-003	9.998369e+000
2.489820321420465e-003	9.998363e+000
2.490551607134683e-003	9.998336e+000
2.491282892848900e-003	9.998288e+000
2.492014178563118e-003	9.998220e+000
2.492745464277336e-003	9.998130e+000
2.493476749991554e-003	9.998019e+000
2.494500749991459e-003	9.997887e+000
2.494866321419997e-003	9.997836e+000
